no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,106.933,135.694,-8.36317,1.62494,17.229,3.82719,2.47183
1,18ss,96.7667,140.111,-6.97132,2.04977,20.1026,3.91037,1.11362
1,18ss,114.276,137.3,-5.57534,2.2247,18.3549,3.48749,1.62936
1,18ss,101.705,143.336,-3.7927,2.41275,21.3504,4.11252,1.19727
1,18ss,110.485,135.325,-4.5326,2.49836,21.6521,3.75091,2.24452
1,18ss,107.644,127.843,-2.28115,2.03754,15.5826,3.59329,2.04456
1,18ss,112.454,122.538,-2.62761,1.80245,15.3988,3.39056,1.75313
1,18ss,98.9457,128.666,-2.62554,2.0861,17.2126,4.20111,2.22635
1,18ss,116.129,130.002,-2.88617,2.07839,16.3872,4.34759,1.76259
1,18ss,132.191,137.063,-8.13091,2.93032,15.7097,3.32914,1.37845
1,18ss,130.224,125.032,-8.52249,1.80725,14.2723,3.49081,5.10635
1,18ss,123.028,124.14,-5.58378,2.17179,15.4841,3.60757,2.7607
1,18ss,131.476,143.45,-5.35227,2.04906,12.463,3.78029,1.40093
1,18ss,121.357,128.592,-5.23224,2.71143,14.224,4.09908,1.89053
1,18ss,129.331,133.378,-4.62679,2.04669,18.9896,3.87355,1.71302
1,18ss,127.882,139.162,-4.94919,1.97762,18.7575,4.15398,3.09519
1,18ss,133.409,140.748,-4.0264,2.07178,12.7943,3.06494,1.15755
1,18ss,132.413,121.598,-4.65136,2.11093,18.9097,3.69436,5.52729
1,18ss,130.012,128.276,-4.55479,2.54932,15.4016,3.8511,2.59919
1,18ss,121.387,142.438,-3.37293,2.64514,22.2963,3.89849,1.64149
1,18ss,125.668,128.524,-3.51557,2.28594,17.1698,3.86305,1.59709
1,18ss,140.657,122.885,-2.88544,3.73765,17.1716,3.86037,5.43642
1,18ss,133.38,130.673,-3.03834,2.68533,16.9144,3.68533,3.27177
1,18ss,157.093,125.571,-8.37533,2.39211,9.63026,3.19753,1.4403
1,18ss,148.755,121.667,-6.69673,6.04595,16.8614,3.38541,7.44893
1,18ss,146.527,132.705,-8.10117,1.97561,9.94383,3.6068,1.12342
1,18ss,150.848,127.909,-5.36302,1.98489,11.4435,4.09128,1.43306
1,18ss,100.188,156.516,-8.82386,2.96979,29.76,5.62383,1.30626
1,18ss,115.993,158.434,-6.61434,2.00532,11.3274,4.89741,1.15232
1,18ss,106.562,155.017,-6.28689,3.58222,27.8275,4.49207,1.1527
1,18ss,106.752,162.462,-5.91676,1.81646,11.4782,4.21682,1.14832
1,18ss,108.71,145.738,-4.07499,3.51874,24.4704,3.9818,1.83195
1,18ss,115.015,148.275,-4.63433,3.83664,24.1663,3.9363,1.23346
1,18ss,125.143,145.316,-7.29663,3.69299,26.4465,3.44105,1.99992
1,18ss,125.417,150.626,-3.28128,1.96982,13.3073,4.69712,1.22679
1,18ss,102.641,17.2099,2.67538,0.815726,5.83916,2.39958,0.545013
1,18ss,98.4199,17.9984,3.52841,0.822242,6.05538,2.43368,0.658387
1,18ss,110.685,20.3695,3.26721,0.919747,5.99598,3.09679,0.623421
1,18ss,104.975,21.6254,4.54309,1.1054,7.401,3.9202,0.817315
1,18ss,126.787,21.2809,3.48466,0.770345,5.47309,2.10386,0.497812
1,18ss,95.5723,34.9616,1.60969,1.99714,5.62216,4.0819,1.06179
1,18ss,118.692,44.5248,-0.615041,2.1067,5.16005,2.31647,2.16782
1,18ss,102.806,28.7395,0.0878964,1.63574,5.5405,4.32117,1.14138
1,18ss,104.446,42.0211,-1.65217,1.49687,5.43838,2.70066,1.95979
1,18ss,112.914,26.1015,1.74966,2.46085,5.60213,3.25354,2.57445
1,18ss,102.127,33.6994,1.18111,1.80718,5.63174,2.9937,1.41352
1,18ss,98.6643,40.1555,1.62252,1.44814,5.77864,3.50616,1.10893
1,18ss,96.4007,30.5849,1.64339,2.28676,5.4872,3.06554,0.722518
1,18ss,111.006,37.7803,2.41801,1.36341,5.49584,2.47973,1.67495
1,18ss,99.7805,23.017,2.77649,1.01512,6.65144,3.21696,0.746548
1,18ss,115.27,31.2145,2.77541,1.60716,5.94563,3.22748,1.57768
1,18ss,118,36.5036,2.6819,2.4228,5.47028,3.06065,2.34813
1,18ss,108.653,29.7146,1.36202,2.18884,6.17497,4.06835,2.15525
1,18ss,104.403,35.923,4.76945,1.13601,5.72798,2.34003,1.15533
1,18ss,109.07,41.662,4.39986,1.1659,5.95776,2.80073,1.65228
1,18ss,118.27,27.1409,4.15679,2.01419,6.08187,2.65964,1.51803
1,18ss,128.943,43.0654,-1.2924,2.29471,5.18149,2.35051,3.33925
1,18ss,137.834,29.2796,1.08199,0.90919,5.65035,2.40185,0.883632
1,18ss,127.19,46.4977,2.84537,2.34224,5.66824,2.48011,3.18553
1,18ss,132.651,40.2268,3.18895,2.2555,5.24683,2.87558,2.85135
1,18ss,138.217,44.5038,2.89772,2.32825,5.07798,3.13809,3.05243
1,18ss,124.386,36.5688,2.90555,1.68766,5.47382,2.40431,2.60702
1,18ss,121.581,41.1418,4.0181,1.8013,5.7927,2.3276,2.40837
1,18ss,160.563,35.3934,-2.81283,0.69268,4.42075,2.17862,0.587259
1,18ss,150.669,32.7223,-0.16562,0.774207,4.32055,2.33713,0.668256
1,18ss,162.403,39.4201,0.232818,0.908046,4.67494,2.17066,0.880006
1,18ss,146.334,46.0533,0.697555,4.78368,5.18018,6.5169,5.8073
1,18ss,147.465,39.5756,2.06324,3.42788,5.16186,2.83148,2.01928
1,18ss,166.174,46.5868,3.64847,1.02361,5.00396,3.17058,0.836022
1,18ss,152.909,43.6012,5.67156,2.01612,5.50352,3.05191,3.27801
1,18ss,117.966,57.8841,-1.93215,1.83281,5.97172,2.71915,2.01019
1,18ss,97.0969,63.8213,-0.605827,2.13992,7.10629,2.79744,1.48203
1,18ss,96.8574,59.1787,-2.60987,1.91776,6.62274,2.91039,1.99739
1,18ss,105.231,54.8676,1.00109,2.02136,6.3337,2.7975,2.99866
1,18ss,106.888,60.8096,0.237734,2.7812,6.31577,2.5404,1.69005
1,18ss,112.388,59.9058,-1.6808,2.5213,5.88212,3.11039,2.06052
1,18ss,107.893,67.7125,0.65693,2.21365,6.44659,2.61906,1.31855
1,18ss,96.6743,67.7989,1.31763,1.9196,7.085,2.9291,1.5306
1,18ss,100.517,50.3629,2.81274,2.23595,6.72881,2.69311,1.69726
1,18ss,118.148,52.0171,2.73021,1.72371,6.00111,2.5397,2.78634
